2025-10-13 20:40:53,157 - INFO - === UPDATING SPREAD TABLE ===
2025-10-13 20:40:53,157 - INFO - Total tokens to add: 37
2025-10-13 20:40:53,157 - INFO - Adding token: STREAMER with tags: ('no_data',) (spread: N/A)
2025-10-13 20:40:53,157 - INFO - Adding token: PUP with tags: ('no_data',) (spread: N/A)
2025-10-13 20:40:53,157 - INFO - Adding token: PALU with tags: ('no_data',) (spread: N/A)
2025-10-13 20:40:53,157 - INFO - Adding token: AKE with tags: ('no_data',) (spread: N/A)
2025-10-13 20:40:53,157 - INFO - Adding token: KIND with tags: ('no_data',) (spread: N/A)
2025-10-13 20:40:53,157 - INFO - Adding token: PIPE with tags: ('no_data',) (spread: N/A)
2025-10-13 20:40:53,158 - INFO - Adding token: KEFUXIAOHE with tags: ('no_data',) (spread: N/A)
2025-10-13 20:40:53,158 - INFO - Adding token: CYPR with tags: ('no_data',) (spread: N/A)
2025-10-13 20:40:53,158 - INFO - Adding token: EXO with tags: ('no_data',) (spread: N/A)
2025-10-13 20:40:53,158 - INFO - Adding token: GIGGLE with tags: ('no_data',) (spread: N/A)
2025-10-13 20:40:53,158 - INFO - Adding token: BIANRENSHENG with tags: ('no_data',) (spread: N/A)
2025-10-13 20:40:53,158 - INFO - Adding token: AIN with tags: ('no_data',) (spread: N/A)
2025-10-13 20:40:53,158 - INFO - Adding token: BSU with tags: ('no_data',) (spread: N/A)
2025-10-13 20:40:53,158 - INFO - Adding token: BAGWORK with tags: ('no_data',) (spread: N/A)
2025-10-13 20:40:53,158 - INFO - Adding token: STBL with tags: ('no_data',) (spread: N/A)
2025-10-13 20:40:53,158 - INFO - Adding token: STRIKE with tags: ('no_data',) (spread: N/A)
2025-10-13 20:40:53,158 - INFO - Adding token: CLASH with tags: ('no_data',) (spread: N/A)
2025-10-13 20:40:53,158 - INFO - Adding token: STARTUP with tags: ('no_data',) (spread: N/A)
2025-10-13 20:40:53,158 - INFO - Adding token: REAL1 with tags: ('no_data',) (spread: N/A)
2025-10-13 20:40:53,158 - INFO - Adding token: MAMO with tags: ('no_data',) (spread: N/A)
2025-10-13 20:40:53,158 - INFO - Adding token: RICE with tags: ('no_data',) (spread: N/A)
2025-10-13 20:40:53,158 - INFO - Adding token: LAVA with tags: ('no_data',) (spread: N/A)
2025-10-13 20:40:53,158 - INFO - Adding token: AIOT with tags: ('no_data',) (spread: N/A)
2025-10-13 20:40:53,158 - INFO - Adding token: MEMERUSH with tags: ('no_data',) (spread: N/A)
2025-10-13 20:40:53,158 - INFO - Adding token: ZEREBRO with tags: ('no_data',) (spread: N/A)
2025-10-13 20:40:53,158 - INFO - Adding token: RDNT with tags: ('no_data',) (spread: N/A)
2025-10-13 20:40:53,158 - INFO - Adding token: CDL with tags: ('no_data',) (spread: N/A)
2025-10-13 20:40:53,158 - INFO - Adding token: MYX with tags: ('no_data',) (spread: N/A)
2025-10-13 20:40:53,158 - INFO - Adding token: EVAA with tags: ('no_data',) (spread: N/A)
2025-10-13 20:40:53,158 - INFO - Adding token: MANYU with tags: ('no_data',) (spread: N/A)
2025-10-13 20:40:53,158 - INFO - Adding token: BLOCK with tags: ('no_data',) (spread: N/A)
2025-10-13 20:40:53,158 - INFO - Adding token: ZORA with tags: ('no_data',) (spread: N/A)
2025-10-13 20:40:53,158 - INFO - Adding token: HAJIMI with tags: ('no_data',) (spread: N/A)
2025-10-13 20:40:53,158 - INFO - Adding token: BAKE with tags: ('no_data',) (spread: N/A)
2025-10-13 20:40:53,158 - INFO - Adding token: NEET with tags: ('no_data',) (spread: N/A)
2025-10-13 20:40:53,158 - INFO - Adding token: PROVE with tags: ('no_data',) (spread: N/A)
2025-10-13 20:40:53,158 - INFO - Adding token: MAT with tags: ('no_data',) (spread: N/A)
2025-10-13 20:40:54,772 - INFO - === UPDATING SPREAD TABLE ===
2025-10-13 20:40:54,772 - INFO - Total tokens to add: 37
2025-10-13 20:40:54,772 - INFO - Adding token: STREAMER with tags: ('no_data',) (spread: N/A)
2025-10-13 20:40:54,772 - INFO - Adding token: PUP with tags: ('no_data',) (spread: N/A)
2025-10-13 20:40:54,772 - INFO - Adding token: PALU with tags: ('no_data',) (spread: N/A)
2025-10-13 20:40:54,772 - INFO - Adding token: AKE with tags: ('no_data',) (spread: N/A)
2025-10-13 20:40:54,772 - INFO - Adding token: KIND with tags: ('no_data',) (spread: N/A)
2025-10-13 20:40:54,777 - INFO - Adding token: PIPE with tags: ('no_data',) (spread: N/A)
2025-10-13 20:40:54,777 - INFO - Adding token: KEFUXIAOHE with tags: ('no_data',) (spread: N/A)
2025-10-13 20:40:54,777 - INFO - Adding token: CYPR with tags: ('no_data',) (spread: N/A)
2025-10-13 20:40:54,777 - INFO - Adding token: EXO with tags: ('no_data',) (spread: N/A)
2025-10-13 20:40:54,777 - INFO - Adding token: GIGGLE with tags: ('no_data',) (spread: N/A)
2025-10-13 20:40:54,777 - INFO - Adding token: BIANRENSHENG with tags: ('no_data',) (spread: N/A)
2025-10-13 20:40:54,777 - INFO - Adding token: AIN with tags: ('no_data',) (spread: N/A)
2025-10-13 20:40:54,777 - INFO - Adding token: BSU with tags: ('no_data',) (spread: N/A)
2025-10-13 20:40:54,777 - INFO - Adding token: BAGWORK with tags: ('no_data',) (spread: N/A)
2025-10-13 20:40:54,777 - INFO - Adding token: STBL with tags: ('no_data',) (spread: N/A)
